astrinxente,  , a ,adstrinxente> ,
astro2,  , m ,ástrago ,
asucadoiro,  , m ,barbullo somadoiro ,
asucar,  , t ,sucar ,
asumíbel,  , a ,asumible ,
asumible,  , a ,asumíbel ,
asura,  , f ,queimura ,
asustábel,  , a ,asustable ,
asustable,  , a ,asustábel ,
At,  , sb ,astato ,
ata2,  , pp av ,até ,
atacábel,  , a ,atacable ,
atacable,  , a ,atacábel ,
atagallido,  , m ,alarido> ,
atalar,  , t i ,entalar> ,
atallarido,  , m ,alarido> ,
atanguer,  , t i ,acadar ,
ataniscar,  , t ,amordicar amosegar amozcar anozcar ,
atarraxar,  , t ,tarraxar> ,
atascar,  , t pr ,atoar atuír ,
atasco,  , m ,atoamento ,
até,  , pp av ,ata2 ,
atempar,  , t ,aquendar arroldar atenzar ,
atemperar,  , t i pr ,temperar> ,
atendíbel,  , a ,atendible ,
atendible,  , a ,atendíbel ,
atentar2,  , t ,tentar> ,tentación
atenzar,  , t ,aquendar arroldar atempar ,
atinxíbel,  , a ,atinxible ,
atinxible,  , a ,atinxíbel ,
atoar,  , t pr ,atuír atascar ,obturar
atolar,  , t ,aborrear aborroeirar ,< tola
atoldar,  , t pr ,toldar ,
atollar,  , t i pr ,atrollar> ,
atoutiñar,  , i ,apoupiñar ,
atragoar,  , pr ,torgar ,
atraíbel,  , a ,atraíble ,
atraíble,  , a ,atraíbel ,
atrancallo,  , m ,trancallo ,
atrancar,  , t pr ,trancar ,
atrapazar,  , t pr ,apanar empanar2 ,
atreixar,  , t ,abordelar acamboar agabitar solear ,
atribuíbel,  , a ,atribuíble ,
atribuíble,  , a ,atribuíbel ,
atrollar,  , t i pr ,trollar ,
atuar1,  , t pr ,atoar> ,atuír atascar
atuír,  , t pr ,atascar atoar ,
aturábel,  , a ,aturable ,
aturable,  , a ,aturábel ,
aturdir,  , t ,atordar> ,
aturular,  , i ,agruar aturuxar grixar ufar ,
aturulo,  , m ,agrúo aturuxo grixido ufido ,
aturuxar,  , i ,agruar aturular grixar ufar ,
aturuxo,  , m ,agrúo aturulo grixido ufido ,
Au,  , sb ,ouro ,
aubrar,  , i ,arremollar ubrar ,
audíbel,  , a ,audible ,
audible,  , a ,audíbel ,
auga-,  , pref ,agua- ,
aumentábel,  , a ,aumentable ,
aumentable,  , a ,aumentábel ,
aurela,  , f ,orela> ourela> ,
auriense,  , a s ,ourensán ,Ourense
autoestrada,  , f ,autopista ,
automación,  , f ,automatización=> ,
autopista,  , f ,autoestrada> ,
autorizábel,  , a ,autorizable ,
autorizable,  , a ,autorizábel ,
autoservicio,  , m ,autoservizo> ,
avagar,  , i ,avougar ,
avaliábel,  , a ,avaliable ,
avaliable,  , a ,avaliábel ,
avantaxe,  , f ,vantaxe> ,
avantaxoso, avantaxosa , a ,vantaxoso> ,
avecer,  , i ,avegar ,
avegar,  , i ,avecer ,
avelaíña,  , f ,velairiña voaniña voíña xoaniña ,
aventa,  , f ,avéntoa ,
avéntoa,  , f ,aventa ,
avergoñar,  , t pr ,avergonzar ,
avergonzar,  , t pr ,avergoñar ,
avesedo, aveseda , a m ,avesío ,
avesío, avesía , a m ,avesedo ,
avespa,  , f ,avéspora nespra ,
avespeiro,  , m ,avesporeiro nespreiro ,
avéspora,  , f ,avespa nespra ,
avesporeiro,  , m ,avespeiro nespreiro ,
avido, avida , pt ,avindo ,pt de avir
avindo, avinda , pt ,avido ,pt de avir
avougar,  , i ,avagar ,
axexante,  , a ,asexante ,
axexar,  , t ,aseitar asexar ,
axexo,  , m ,asexo ,
axixilar,  , t ,arxilar ,arrodear (o gran)
axofrar,  , t ,xofrar ,
axordar,  , t ,enxordar ,
axóuxere,  , m ,arouxo ,
axuizado, axuizada , pt a ,asisado ,
axustábel,  , a ,axustable ,
axustable,  , a ,axustábel ,
azaballar,  , t pr ,azafallar> ,
azafallar,  , t pr ,enzafallar enzafañar zafallar ,
azancar,  , i ,achancar alancar ,
azarapallar,  , t ,zarapallar> ,
azazar,  , i ,impar1 ,
azoar,  , t ,azuar=> ,
azorrar,  , t ,agradar2 gradar ,arrastrar
azotato,  , m ,nitrato ,
azote,  , m ,nitróxeno ,
azótico, azótica , a ,nítrico ,
azotito,  , m ,nitrito ,
azotoso, azotosa , a ,nitroso ,
azoturo,  , m ,nitruro ,
azourido, azourida , a ,azuído ,
